 Shallow Bytes │ Shallow % │ Item
───────────────┼───────────┼──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
       4732617 ┊    70.69% ┊ data[0]
        330172 ┊     4.93% ┊ "function names" subsection
         69269 ┊     1.03% ┊ icondata_bs::<impl core::convert::From<icondata_bs::BsIcon> for icondata_core::IconData>::from::h82b98a5b6be3c9a0
         68419 ┊     1.02% ┊ icondata_fa::<impl core::convert::From<icondata_fa::FaIcon> for icondata_core::IconData>::from::h19e1b2402f79cc47
         55125 ┊     0.82% ┊ icondata_bi::<impl core::convert::From<icondata_bi::BiIcon> for icondata_core::IconData>::from::hae1bfd235d61a2cd
         26395 ┊     0.39% ┊ icondata_ai::<impl core::convert::From<icondata_ai::AiIcon> for icondata_core::IconData>::from::ha4c508fdf09cfae8
         25844 ┊     0.39% ┊ leptos_icons::__Icon::{{closure}}::h071a5696e88baa4e
         25844 ┊     0.39% ┊ leptos_icons::__Icon::{{closure}}::h3898b2dd49d88e78
         25844 ┊     0.39% ┊ leptos_icons::__Icon::{{closure}}::hbf3fd4ae2d459a2d
         25844 ┊     0.39% ┊ leptos_icons::__Icon::{{closure}}::hca5beff182b68385
         25844 ┊     0.39% ┊ leptos_icons::__Icon::{{closure}}::he03e4a8ed774d73a
         25844 ┊     0.39% ┊ leptos_icons::__Icon::{{closure}}::hf05798286f68f989
         20037 ┊     0.30% ┊ icondata_oc::<impl core::convert::From<icondata_oc::OcIcon> for icondata_core::IconData>::from::ha887326b9e50da50
         16262 ┊     0.24% ┊ icondata_im::<impl core::convert::From<icondata_im::ImIcon> for icondata_core::IconData>::from::h78b5aa7c1842d463
         10143 ┊     0.15% ┊ <leptos_dom::components::Component<F,V> as leptos_dom::IntoView>::into_view::h09a1ff2ef6853186
         10143 ┊     0.15% ┊ <leptos_dom::components::Component<F,V> as leptos_dom::IntoView>::into_view::h0c18c0cae497c66e
         10143 ┊     0.15% ┊ <leptos_dom::components::Component<F,V> as leptos_dom::IntoView>::into_view::h3c39630d70bd7e5e
         10143 ┊     0.15% ┊ <leptos_dom::components::Component<F,V> as leptos_dom::IntoView>::into_view::h5f4ce675cda944e0
         10143 ┊     0.15% ┊ <leptos_dom::components::Component<F,V> as leptos_dom::IntoView>::into_view::hea5db8d1ec7ffd66
         10143 ┊     0.15% ┊ <leptos_dom::components::Component<F,V> as leptos_dom::IntoView>::into_view::hfff00e34e428188a
          9655 ┊     0.14% ┊ <leptos_dom::components::dyn_child::DynChild<CF,N> as leptos_dom::IntoView>::into_view::create_dyn_view::{{closure}}::h181bf8a8ba5e2771
          7643 ┊     0.11% ┊ <leptos_reactive::signal::ReadSignal<T> as leptos_reactive::signal::SignalGet>::get::h201cb87b6b84978e
