 Shallow Bytes │ Shallow % │ Item
───────────────┼───────────┼──────────────────────────────────────────────────────────
        570549 ┊    12.84% ┊ data[11414]
        513084 ┊    11.55% ┊ data[0]
         48360 ┊     1.09% ┊ code[2]
         47847 ┊     1.08% ┊ code[3]
         39246 ┊     0.88% ┊ code[4]
         11167 ┊     0.25% ┊ data[9922]
          8087 ┊     0.18% ┊ data[11348]
          7251 ┊     0.16% ┊ data[1412]
          7083 ┊     0.16% ┊ data[8372]
          6119 ┊     0.14% ┊ data[10930]
          5939 ┊     0.13% ┊ data[9680]
          5439 ┊     0.12% ┊ data[9132]
          5439 ┊     0.12% ┊ data[10272]
          5343 ┊     0.12% ┊ data[2994]
          5055 ┊     0.11% ┊ data[9876]
          4699 ┊     0.11% ┊ data[9932]
          4683 ┊     0.11% ┊ data[1746]
          4611 ┊     0.10% ┊ data[8414]
          4545 ┊     0.10% ┊ code[0]
          4467 ┊     0.10% ┊ data[8404]
          4291 ┊     0.10% ┊ data[9500]
          4227 ┊     0.10% ┊ data[10402]
          4175 ┊     0.09% ┊ code[6]
          4007 ┊     0.09% ┊ code[1]
          3947 ┊     0.09% ┊ data[8402]
          3859 ┊     0.09% ┊ data[10390]
          3839 ┊     0.09% ┊ data[1904]
          3779 ┊     0.09% ┊ data[10266]
          3675 ┊     0.08% ┊ data[9336]
          3639 ┊     0.08% ┊ data[8988]
          3519 ┊     0.08% ┊ data[9620]
          3415 ┊     0.08% ┊ data[7424]
          3379 ┊     0.08% ┊ data[7986]
          3363 ┊     0.08% ┊ data[2428]
          3359 ┊     0.08% ┊ data[5354]
          3283 ┊     0.07% ┊ data[5414]
          3247 ┊     0.07% ┊ data[2632]
          3227 ┊     0.07% ┊ data[10934]
          3155 ┊     0.07% ┊ data[10558]
          3151 ┊     0.07% ┊ data[10706]
          3087 ┊     0.07% ┊ data[9676]
          3071 ┊     0.07% ┊ data[8316]
          3067 ┊     0.07% ┊ data[9882]
          3035 ┊     0.07% ┊ data[10404]
          2971 ┊     0.07% ┊ data[7998]
          2931 ┊     0.07% ┊ data[1394]
          2915 ┊     0.07% ┊ code[5]
          2899 ┊     0.07% ┊ data[9696]
          2859 ┊     0.06% ┊ data[10270]
          2847 ┊     0.06% ┊ data[5352]
          2827 ┊     0.06% ┊ data[7626]
          2799 ┊     0.06% ┊ data[2488]
          2731 ┊     0.06% ┊ data[1732]
          2671 ┊     0.06% ┊ data[6370]
          2655 ┊     0.06% ┊ data[7354]
          2635 ┊     0.06% ┊ data[9020]
          2571 ┊     0.06% ┊ data[9698]
          2551 ┊     0.06% ┊ data[9140]
          2523 ┊     0.06% ┊ data[7674]
          2511 ┊     0.06% ┊ data[5292]
          2491 ┊     0.06% ┊ data[10588]
          2443 ┊     0.05% ┊ data[10126]
          2423 ┊     0.05% ┊ data[11352]
          2411 ┊     0.05% ┊ data[142]
          2355 ┊     0.05% ┊ data[6790]
          2343 ┊     0.05% ┊ data[2772]
          2335 ┊     0.05% ┊ data[4608]
          2309 ┊     0.05% ┊ code[8]
          2308 ┊     0.05% ┊ code[7]
          2297 ┊     0.05% ┊ code[9]
          2291 ┊     0.05% ┊ data[7078]
          2259 ┊     0.05% ┊ data[7610]
          2239 ┊     0.05% ┊ data[4610]
          2231 ┊     0.05% ┊ data[56]
          2195 ┊     0.05% ┊ data[10432]
          2145 ┊     0.05% ┊ code[23]
          2139 ┊     0.05% ┊ data[9536]
          2139 ┊     0.05% ┊ data[10580]
          2127 ┊     0.05% ┊ data[7606]
          2127 ┊     0.05% ┊ data[8918]
          2123 ┊     0.05% ┊ data[6326]
          2111 ┊     0.05% ┊ data[8290]
          2103 ┊     0.05% ┊ data[11172]
          2095 ┊     0.05% ┊ data[9924]
          2087 ┊     0.05% ┊ data[9898]
          2083 ┊     0.05% ┊ data[9742]
          2079 ┊     0.05% ┊ data[4638]
          2059 ┊     0.05% ┊ data[3902]
          2059 ┊     0.05% ┊ data[9454]
          2051 ┊     0.05% ┊ data[9086]
          2047 ┊     0.05% ┊ data[5398]
          2031 ┊     0.05% ┊ data[9916]
          2028 ┊     0.05% ┊ code[28]
          2027 ┊     0.05% ┊ data[5314]
          2019 ┊     0.05% ┊ data[3980]
          2015 ┊     0.05% ┊ data[7780]
          2003 ┊     0.05% ┊ data[9038]
          2002 ┊     0.05% ┊ code[10]
          1999 ┊     0.04% ┊ data[9250]
          1987 ┊     0.04% ┊ data[1814]
          1975 ┊     0.04% ┊ data[9130]
          1955 ┊     0.04% ┊ data[11188]
          1923 ┊     0.04% ┊ data[8690]
          1915 ┊     0.04% ┊ data[5298]
          1899 ┊     0.04% ┊ data[5418]
          1899 ┊     0.04% ┊ data[7458]
          1891 ┊     0.04% ┊ data[8714]
          1883 ┊     0.04% ┊ data[8580]
          1875 ┊     0.04% ┊ data[7898]
          1875 ┊     0.04% ┊ data[8548]
          1859 ┊     0.04% ┊ data[9652]
          1851 ┊     0.04% ┊ data[8692]
          1851 ┊     0.04% ┊ data[9516]
          1843 ┊     0.04% ┊ data[10880]
          1831 ┊     0.04% ┊ data[8716]
          1815 ┊     0.04% ┊ data[5806]
          1815 ┊     0.04% ┊ data[11044]
          1811 ┊     0.04% ┊ data[5296]
          1795 ┊     0.04% ┊ data[5360]
          1795 ┊     0.04% ┊ data[8582]
          1791 ┊     0.04% ┊ data[9592]
          1783 ┊     0.04% ┊ data[8254]
          1767 ┊     0.04% ┊ data[1280]
          1763 ┊     0.04% ┊ data[5808]
          1755 ┊     0.04% ┊ data[9384]
          1751 ┊     0.04% ┊ data[9750]
          1747 ┊     0.04% ┊ data[5358]
          1743 ┊     0.04% ┊ data[5344]
          1743 ┊     0.04% ┊ data[11288]
          1739 ┊     0.04% ┊ data[9406]
          1727 ┊     0.04% ┊ data[5294]
          1711 ┊     0.04% ┊ data[7278]
          1711 ┊     0.04% ┊ data[8000]
          1711 ┊     0.04% ┊ data[8722]
          1707 ┊     0.04% ┊ data[3982]
          1703 ┊     0.04% ┊ data[7134]
          1699 ┊     0.04% ┊ data[5504]
          1691 ┊     0.04% ┊ data[3722]
          1683 ┊     0.04% ┊ data[3172]
          1679 ┊     0.04% ┊ data[7468]
          1675 ┊     0.04% ┊ data[5290]
          1675 ┊     0.04% ┊ data[6036]
          1671 ┊     0.04% ┊ data[8920]
          1667 ┊     0.04% ┊ data[4684]
          1663 ┊     0.04% ┊ data[10830]
          1659 ┊     0.04% ┊ data[9572]
          1655 ┊     0.04% ┊ data[8538]
          1643 ┊     0.04% ┊ data[10398]
          1627 ┊     0.04% ┊ data[5870]
          1627 ┊     0.04% ┊ data[6416]
          1627 ┊     0.04% ┊ data[6992]
          1623 ┊     0.04% ┊ data[4576]
          1623 ┊     0.04% ┊ data[10142]
          1615 ┊     0.04% ┊ data[9840]
          1611 ┊     0.04% ┊ data[5132]
          1611 ┊     0.04% ┊ data[7698]
          1599 ┊     0.04% ┊ data[6694]
          1595 ┊     0.04% ┊ data[10268]
          1591 ┊     0.04% ┊ data[7178]
          1583 ┊     0.04% ┊ data[10780]
          1579 ┊     0.04% ┊ data[6482]
          1579 ┊     0.04% ┊ data[8724]
          1579 ┊     0.04% ┊ data[9114]
          1575 ┊     0.04% ┊ data[2372]
          1575 ┊     0.04% ┊ data[5130]
          1575 ┊     0.04% ┊ data[6336]
          1572 ┊     0.04% ┊ code[12]
          1571 ┊     0.04% ┊ data[8666]
          1567 ┊     0.04% ┊ data[5224]
          1551 ┊     0.03% ┊ data[4526]
          1551 ┊     0.03% ┊ data[9018]
          1547 ┊     0.03% ┊ data[10128]
          1539 ┊     0.03% ┊ data[5226]
          1539 ┊     0.03% ┊ data[5756]
          1539 ┊     0.03% ┊ data[10490]
          1531 ┊     0.03% ┊ data[4646]
          1531 ┊     0.03% ┊ data[8422]
          1527 ┊     0.03% ┊ data[3392]
          1523 ┊     0.03% ┊ data[7088]
          1519 ┊     0.03% ┊ data[232]
          1519 ┊     0.03% ┊ data[4224]
          1519 ┊     0.03% ┊ data[9386]
          1515 ┊     0.03% ┊ data[5574]
          1515 ┊     0.03% ┊ data[9528]
          1511 ┊     0.03% ┊ data[7628]
          1511 ┊     0.03% ┊ data[9908]
          1507 ┊     0.03% ┊ data[3940]
          1507 ┊     0.03% ┊ data[5310]
          1506 ┊     0.03% ┊ code[11]
          1503 ┊     0.03% ┊ data[7750]
          1503 ┊     0.03% ┊ data[10836]
          1499 ┊     0.03% ┊ data[8294]
          1495 ┊     0.03% ┊ data[6280]
          1495 ┊     0.03% ┊ data[11412]
          1491 ┊     0.03% ┊ data[988]
          1491 ┊     0.03% ┊ data[5570]
          1483 ┊     0.03% ┊ data[3706]
          1483 ┊     0.03% ┊ data[5328]
          1479 ┊     0.03% ┊ data[8434]
          1479 ┊     0.03% ┊ data[8922]
          1475 ┊     0.03% ┊ data[4674]
          1471 ┊     0.03% ┊ data[8808]
          1467 ┊     0.03% ┊ data[9534]
          1455 ┊     0.03% ┊ data[9076]
          1455 ┊     0.03% ┊ data[9722]
          1454 ┊     0.03% ┊ code[15]
          1451 ┊     0.03% ┊ data[3398]
          1451 ┊     0.03% ┊ data[6072]
          1451 ┊     0.03% ┊ data[9498]
          1447 ┊     0.03% ┊ data[8556]
          1447 ┊     0.03% ┊ data[9900]
          1443 ┊     0.03% ┊ data[10650]
          1439 ┊     0.03% ┊ data[5316]
          1435 ┊     0.03% ┊ data[134]
          1435 ┊     0.03% ┊ data[446]
          1435 ┊     0.03% ┊ data[878]
          1435 ┊     0.03% ┊ data[1842]
          1435 ┊     0.03% ┊ data[9328]
          1435 ┊     0.03% ┊ data[11088]
          1431 ┊     0.03% ┊ data[6766]
          1431 ┊     0.03% ┊ data[9098]
          1427 ┊     0.03% ┊ data[7608]
          1427 ┊     0.03% ┊ data[11392]
          1423 ┊     0.03% ┊ data[3950]
          1423 ┊     0.03% ┊ data[5464]
          1423 ┊     0.03% ┊ data[6794]
          1423 ┊     0.03% ┊ data[7872]
          1423 ┊     0.03% ┊ data[9532]
          1419 ┊     0.03% ┊ data[1158]
          1411 ┊     0.03% ┊ data[3786]
          1411 ┊     0.03% ┊ data[8668]
          1407 ┊     0.03% ┊ data[11224]
          1403 ┊     0.03% ┊ data[6478]
          1402 ┊     0.03% ┊ code[14]
          1399 ┊     0.03% ┊ data[2506]
          1399 ┊     0.03% ┊ data[4528]
          1399 ┊     0.03% ┊ data[8274]
          1395 ┊     0.03% ┊ data[7704]
          1395 ┊     0.03% ┊ data[9318]
          1391 ┊     0.03% ┊ data[2756]
          1391 ┊     0.03% ┊ data[3900]
          1391 ┊     0.03% ┊ data[6622]
          1391 ┊     0.03% ┊ data[8190]
          1383 ┊     0.03% ┊ data[2206]
          1383 ┊     0.03% ┊ data[7844]
          1383 ┊     0.03% ┊ data[8684]
          1383 ┊     0.03% ┊ data[9240]
          1379 ┊     0.03% ┊ data[6372]
          1379 ┊     0.03% ┊ data[8338]
          1371 ┊     0.03% ┊ data[10448]
          1363 ┊     0.03% ┊ data[8906]
          1363 ┊     0.03% ┊ data[11398]
          1359 ┊     0.03% ┊ data[10596]
          1355 ┊     0.03% ┊ data[9938]
          1347 ┊     0.03% ┊ data[6624]
          1343 ┊     0.03% ┊ data[1698]
          1343 ┊     0.03% ┊ data[1734]
          1343 ┊     0.03% ┊ data[3248]
          1343 ┊     0.03% ┊ data[8122]
          1339 ┊     0.03% ┊ data[5312]
          1339 ┊     0.03% ┊ data[8530]
          1335 ┊     0.03% ┊ data[9064]
          1331 ┊     0.03% ┊ data[7090]
          1331 ┊     0.03% ┊ data[7440]
          1331 ┊     0.03% ┊ data[8452]
          1331 ┊     0.03% ┊ data[11230]
          1327 ┊     0.03% ┊ data[1172]
          1327 ┊     0.03% ┊ data[10990]
          1323 ┊     0.03% ┊ data[5006]
          1323 ┊     0.03% ┊ data[8250]
          1323 ┊     0.03% ┊ data[8474]
          1319 ┊     0.03% ┊ data[9530]
          1319 ┊     0.03% ┊ data[11246]
          1315 ┊     0.03% ┊ data[5338]
          1315 ┊     0.03% ┊ data[5376]
          1315 ┊     0.03% ┊ data[9066]
          1311 ┊     0.03% ┊ data[9212]
          1311 ┊     0.03% ┊ data[10360]
          1303 ┊     0.03% ┊ data[8240]
          1303 ┊     0.03% ┊ data[8682]
          1295 ┊     0.03% ┊ data[1214]
          1295 ┊     0.03% ┊ data[5716]
          1295 ┊     0.03% ┊ data[10112]
          1291 ┊     0.03% ┊ data[4522]
          1279 ┊     0.03% ┊ data[2412]
          1279 ┊     0.03% ┊ data[8236]
          1275 ┊     0.03% ┊ code[16]
          1275 ┊     0.03% ┊ data[20]
          1275 ┊     0.03% ┊ data[7296]
          1275 ┊     0.03% ┊ data[11130]
          1271 ┊     0.03% ┊ data[268]
          1271 ┊     0.03% ┊ data[1238]
          1271 ┊     0.03% ┊ data[4692]
          1271 ┊     0.03% ┊ data[9224]
          1271 ┊     0.03% ┊ data[10316]
          1267 ┊     0.03% ┊ data[3194]
          1267 ┊     0.03% ┊ data[5502]
          1267 ┊     0.03% ┊ data[10500]
          1263 ┊     0.03% ┊ data[2222]
          1263 ┊     0.03% ┊ data[11240]
          1259 ┊     0.03% ┊ data[2860]
          1259 ┊     0.03% ┊ data[5890]
          1259 ┊     0.03% ┊ data[7556]
          1255 ┊     0.03% ┊ data[6666]
          1255 ┊     0.03% ┊ data[7404]
          1251 ┊     0.03% ┊ data[11306]
          1247 ┊     0.03% ┊ data[798]
          1247 ┊     0.03% ┊ data[5904]
          1247 ┊     0.03% ┊ data[10314]
          1246 ┊     0.03% ┊ code[13]
          1239 ┊     0.03% ┊ data[2576]
          1239 ┊     0.03% ┊ data[8002]
          1239 ┊     0.03% ┊ data[8332]
          1239 ┊     0.03% ┊ data[10832]
          1235 ┊     0.03% ┊ data[2574]
          1235 ┊     0.03% ┊ data[4658]
          1235 ┊     0.03% ┊ data[4690]
          1235 ┊     0.03% ┊ data[7538]
          1235 ┊     0.03% ┊ data[7990]
          1231 ┊     0.03% ┊ data[5374]
          1231 ┊     0.03% ┊ data[8252]
          1231 ┊     0.03% ┊ data[10562]
          1227 ┊     0.03% ┊ data[4688]
          1223 ┊     0.03% ┊ data[3224]
          1219 ┊     0.03% ┊ data[4654]
          1219 ┊     0.03% ┊ data[5288]
          1219 ┊     0.03% ┊ data[5364]
          1219 ┊     0.03% ┊ data[10560]
          1215 ┊     0.03% ┊ data[3386]
          1215 ┊     0.03% ┊ data[5508]
          1215 ┊     0.03% ┊ data[6958]
          1215 ┊     0.03% ┊ data[7788]
          1215 ┊     0.03% ┊ data[9482]
          1211 ┊     0.03% ┊ data[1678]
          1211 ┊     0.03% ┊ data[6026]
          1207 ┊     0.03% ┊ data[7376]
          1207 ┊     0.03% ┊ data[11316]
          1203 ┊     0.03% ┊ data[1240]
          1203 ┊     0.03% ┊ data[7632]
          1199 ┊     0.03% ┊ data[2298]
          1199 ┊     0.03% ┊ data[2466]
          1199 ┊     0.03% ┊ data[4660]
          1199 ┊     0.03% ┊ data[6108]
          1199 ┊     0.03% ┊ data[9004]
          1195 ┊     0.03% ┊ data[6716]
          1195 ┊     0.03% ┊ data[9162]
          1191 ┊     0.03% ┊ data[5470]
          1191 ┊     0.03% ┊ data[8924]
          1187 ┊     0.03% ┊ data[4652]
          1187 ┊     0.03% ┊ data[7994]
          1183 ┊     0.03% ┊ data[1718]
          1183 ┊     0.03% ┊ data[4686]
          1183 ┊     0.03% ┊ data[7352]
          1183 ┊     0.03% ┊ data[8360]
          1183 ┊     0.03% ┊ data[10712]
          1179 ┊     0.03% ┊ data[11346]
          1171 ┊     0.03% ┊ data[4136]
          1171 ┊     0.03% ┊ data[8562]
          1171 ┊     0.03% ┊ data[10608]
          1167 ┊     0.03% ┊ data[2464]
          1167 ┊     0.03% ┊ data[4744]
          1167 ┊     0.03% ┊ data[10648]
          1166 ┊     0.03% ┊ code[204]
          1163 ┊     0.03% ┊ data[5020]
          1163 ┊     0.03% ┊ data[11368]
          1159 ┊     0.03% ┊ data[3898]
          1159 ┊     0.03% ┊ data[4850]
          1159 ┊     0.03% ┊ data[8226]
          1159 ┊     0.03% ┊ data[8296]
          1159 ┊     0.03% ┊ data[10454]
          1157 ┊     0.03% ┊ code[17]
          1157 ┊     0.03% ┊ code[18]
          1157 ┊     0.03% ┊ code[19]
          1155 ┊     0.03% ┊ data[3796]
          1155 ┊     0.03% ┊ data[7594]
          1151 ┊     0.03% ┊ data[4524]
          1151 ┊     0.03% ┊ data[8718]
          1151 ┊     0.03% ┊ data[9606]
          1147 ┊     0.03% ┊ data[6418]
          1147 ┊     0.03% ┊ data[6668]
          1147 ┊     0.03% ┊ data[7726]
          1147 ┊     0.03% ┊ data[9228]
          1147 ┊     0.03% ┊ data[10798]
          1147 ┊     0.03% ┊ data[10984]
          1143 ┊     0.03% ┊ data[4656]
          1143 ┊     0.03% ┊ data[8762]
          1139 ┊     0.03% ┊ data[5812]
